id,label
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,1
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,1
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,1
137,0
138,1
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,1
166,1
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,0
372,0
373,0
374,1
375,0
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,0
575,1
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,1
585,1
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,0
602,1
