id,label
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,1
203,0
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,0
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,0
321,1
322,1
323,0
324,1
325,1
326,0
327,0
328,1
329,1
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,1
374,0
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,1
412,0
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,0
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,0
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,1
513,0
514,0
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,1
